2025-06-18 08:30|通报的伤亡数字太少了，绝对瞒报！
2025-06-18 08:45|愤怒！为什么不及时公布真相
2025-06-18 09:00|到底死了多少人？求公布真实数字
2025-06-18 09:15|担心还会发生类似事故，安全监管在哪里
2025-06-18 09:30|涉事企业负责人有没有被控制？别又保护起来了
2025-06-18 09:45|真的假的？消息确认了吗
2025-06-18 10:00|太可怕了，周围居民的安全怎么办
2025-06-18 10:15|路过吃瓜
2025-06-18 10:30|严惩责任人！绝不姑息！
2025-06-18 10:45|为什么通报这么慢？都过了24小时了
2025-06-18 11:00|伤亡数字是否准确？和现场看到的情况完全不符
2025-06-18 11:15|担心家人的安全，能不能撤离
2025-06-18 11:30|要求彻查！不能就这么算了
2025-06-18 11:45|求证：网上传的二次爆炸是真的吗
2025-06-18 12:00|官方通报呢？在哪里看
2025-06-18 12:15|气死了，每次都是捂着盖着
2025-06-18 12:30|围观，蹲后续
2025-06-18 12:45|家属的赔偿和安置怎么办
2025-06-18 13:00|隐瞒真相的人必须追责！
2025-06-18 13:15|会不会还有后续影响？后怕
2025-06-18 13:30|救援是否及时充分？看到消防来得晚
2025-06-18 13:45|真相是什么！给公众一个交代
2025-06-18 14:00|这种事情已经不是第一次了，如何防止再发
2025-06-18 14:15|受害者有没有得到心理疏导
2025-06-18 14:30|媒体采访受阻，信息透明度严重不足
2025-06-18 14:45|极其愤怒！草菅人命！
2025-06-18 15:00|发布会什么时候开？等一整天了
2025-06-18 15:15|收到的信息互相矛盾，到底哪个是真的
2025-06-18 15:30|前排吃瓜，搬板凳
2025-06-18 15:45|受影响群众有没有安置点，急需救助
